id,category,name,address,symbol,tvl,mcap,slug
2269,CEX,Binance CEX,,-,66980513678.25869,,binance-cex
182,Liquid Staking,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,12192645047.22479,1581976557.2755787,lido
2272,CEX,OKX,,-,10073705943.83506,,okx
2275,CEX,Bitfinex,,-,9457368030.110758,,bitfinex
118,CDP,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,7356575392.007298,628058662.9331813,makerdao
240,Chain,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,7118975526.042103,8877195125.48178,polygon-bridge-&-staking
2,Bridge,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,4480219864.690368,4467211830.562843,wbtc
3,Dexes,Curve DEX,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,4389947665.812931,,curve-dex
494,Lending,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3945366685.393283,216642375.98947892,justlend
111,Lending,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,3931881614.941295,995338593.7378902,aave-v2
2270,CEX,Crypto-com,,-,3646396928.194969,,crypto-com
694,Bridge,JustCryptos,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,3439642855.0,,justcryptos
319,Yield,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,3417631106.244573,397556065.2961962,convex-finance
2276,CEX,Huobi,,-,3016014726.3115416,,huobi
2286,CEX,Bybit,,-,2985062378.9376574,,bybit
2198,Dexes,Uniswap V3,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,2922828554.2660174,,uniswap-v3
2274,CEX,Kucoin,,-,2763925089.7154713,,kucoin
2222,Liquid Staking,Coinbase Wrapped Staked ETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,CBETH,2269514430.763946,0.0,coinbase-wrapped-staked-eth
120,Services,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,2116880950.4257202,26051740.406029385,instadapp
2273,CEX,Deribit,,-,1884253645.0475695,,deribit
2314,CEX,Gate-io,,-,1877460639.2621722,,gate-io
194,Dexes,PancakeSwap AMM,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,1810330249.554216,,pancakeswap-amm
591,Bridge,Multichain,0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,MULTI,1763087556.5013733,173915242.0346769,multichain
900,Liquid Staking,Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,RPL,1553767689.4874098,943954573.8983104,rocket-pool
2352,CEX,Bitget,,-,1464955846.898435,,bitget
1599,Lending,AAVE V3,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,1453282410.3249831,,aave-v3
114,Lending,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,1338707350.264389,,compound
2197,Dexes,Uniswap V2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,1226409445.8194437,,uniswap-v2
691,CDP,JustStables,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,USDJ,1223350850.4745898,0.0,juststables
2611,Dexes,Balancer V2,0xba100000625a3754423978a60c9317c58a424e3d,BAL,1103902361.401182,,balancer-v2
2293,CEX,Bitmex,,-,874313667.9913902,,bitmex
212,Lending,Venus,bsc:0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,856599443.0016501,83282616.82304345,venus
270,CDP,Liquity,0x6DEA81C8171D0bA574754EF6F8b412F2Ed88c54D,LQTY,758260916.0848497,140100090.60020623,liquity
337,Derivatives,GMX,arbitrum:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,GMX,697636763.1128522,593061165.067644,gmx
1918,Yield,Aura,0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,AURA,647620989.4765195,56541149.788058296,aura
2295,CEX,SwissBorg,,-,599510844.3251483,,swissborg
2088,Lending,Compound V3,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,587179914.2772934,,compound-v3
2373,CEX,Binance US,,-,503188709.22687685,,binance-us
113,Yield Aggregator,Yearn Finance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,462931504.3777283,261858083.7154827,yearn-finance
1571,Cross Chain,Stargate,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,STG,451222021.5875936,134764561.59420487,stargate
119,Dexes,SushiSwap,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,SUSHI,444856262.3206023,193187321.3023342,sushiswap
115,Synthetics,Synthetix,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX,415492546.5957396,749099179.9081782,synthetix
690,Dexes,SUNSwap,tron:TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,SUN,412612593.49269754,,sunswap
2301,CEX,Korbit,,-,358732919.03469527,,korbit
144,Derivatives,dYdX,0x92d6c1e31e14520e676a687f0a93788b716beff5,DYDX,342839122.44827056,378531169.14372104,dydx
2221,Liquid Staking,Frax Ether,0x5E8422345238F34275888049021821E8E08CAa1f,frxETH,342771945.3600568,,frax-ether
326,Yield Aggregator,Beefy,bsc:0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,334723131.98323995,35004865.24776224,beefy
2168,Lending,Morpho Aave,0x9994e35db50125e0df82e4c2dde62496ce330999,MORPHO,325652332.0510324,,morpho-aave
1796,Bridge,Poly Network,,-,320680168.54,,poly-network
1541,Bridge,Portal,,-,313417278.7,,portal
2769,Dexes,PancakeSwap AMM V3,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,311431625.5002135,,pancakeswap-amm-v3
2435,CEX,Nexo,,-,295279888.0206017,384650617.9151404,nexo
148,Privacy,Tornado Cash,0x77777feddddffc19ff86db637967013e6c6a116c,TORN,288094514.39228886,10019628.801070413,tornado-cash
1793,Indexes,Bwatch,0x045414e728067ab3da4bceafc0d992d59183463a,BOX,286528292.54,0.0,bwatch
1799,Dexes,Velodrome,optimism:0x3c8B650257cFb5f272f799F5e2b4e65093a11a05,VELO,278831746.55507886,26299976.45210212,velodrome
122,Insurance,Nexus Mutual,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,NXM,274899694.5399177,355971454.62064433,nexus-mutual
2706,Lending,Radiant V2,arbitrum:0x3082CC23568eA640225c2467653dB90e9250AaA0,RDNT,272763767.2598926,,radiant-v2
347,CDP,Abracadabra,0x090185f2135308bad17527004364ebcc2d37e5f6,SPELL,267331172.32878524,75521022.29172477,abracadabra
2907,Dexes,Chronos,arbitrum:0x15b2fb8f08E4Ac1Ce019EADAe02eE92AeDF06851,CHR,262764667.11295807,0.0,chronos
132,Bridge,hBTC,0x0316EB71485b0Ab14103307bf65a021042c6d380,hBTC,259828389.23336628,256679548.85338303,hbtc
1765,Launchpad,UniCrypt,0xadb2437e6f65682b85f814fbc12fec0508a7b1d0,UNCX,248991074.63146114,11594665.621681672,unicrypt
502,Yield,Coinwind,heco:0x80861a817106665bca173db6ac2ab628a738c737,COW,216363651.50266072,0.0,coinwind
657,Bridge,Synapse,0x0f2d719407fdbeff09d87557abb7232601fd9f29,SYN,214037735.37681043,139204602.51287442,synapse
295,Chain,Stacks Staking,-,STX,208361161.81713977,954812687.9337429,stacks-staking
345,Leveraged Farming,Alpaca Leveraged Yield Farming,bsc:0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,202328859.69112837,35283784.88182016,alpaca-leveraged-yield-farming
1807,Launchpad,PinkSale,bsc:0x602ba546a7b06e0fc7f58fd27eb6996ecc824689,PINKSALE,201661077.14531255,18999338.39412745,pinksale
373,Dexes,BiSwap,bsc:0x965f527d9159dce6288a2219db51fc6eef120dd1,BSW,196901772.55533558,57377003.15773565,biswap
641,Liquidity manager,Arrakis V1,,-,195766684.6342114,,arrakis-v1
